,Key,Value
276,IfcWindow,IfcOpeningElement
277,IfcWindow,IfcOpening
278,IfcWindow,IfcOpening
279,IfcDistributionChamberElement.TRENCH,IfcDistributionSystem
280,IfcAsset,IfcDateTimeSelect
281,IfcStructuralCurveAction.LINEAR,IfcGeotechnicalStratum
282,IfcStructuralCurveAction.DISCRETE,IfcElement
283,IfcCooledBeam.PASSIVE,IfcSign
284,IfcSignal,IfcSign
285,IfcCooledBeam.ACTIVE,IfcFlowTerminal
286,IfcJunctionBox.DATA,IfcSignal
287,IfcCaissonFoundation.WELL,IfcStructuralActivityGlobalOrLocal
288,IfcReinforcingBar.EDGE,IfcStructuralCurveMemberVarying
289,IfcBridgePart.FOUNDATION,IfcPile
290,IfcPile,IfcFooting
291,IfcCableCarrierFitting.TRANSITION,IfcLinearPlacement
292,IfcCableCarrierFitting.TRANSITION,IfcLinearPlacement
293,IfcSpatialZone.INTERFERENCE,IfcSpatialElement
294,IfcGeotechnicalStratum.VOID,IfcVirtualElement
