,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
1409,Applique murale,30.0,Decorative aggregates,Murals,0.0,354.0,['dcd6f864-f349-4569-9a33-0ad00d05ef1f.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1438,Boiserie murale cm,39.0,Decorative aggregates,Murals,1.0,239.0,"['3bbdb33e-df23-4877-a20f-82e6df532978.jpeg', 'beeb8af9-3f3b-4af5-af26-c3bb7e78e5c4.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1461,Etagère murale,30.0,Decorative aggregates,Murals,0.0,332.0,"['51da31f9-ef07-40da-b5f7-3236c79410b9.jpeg', '3d140fa4-394c-4833-8909-8ac4f64e5ab9.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1485,Etagère murale,30.0,Decorative aggregates,Murals,0.0,332.0,"['5556caed-6112-4b86-b014-81b5905738b7.jpeg', '6d7810b2-b56c-4856-b5e9-79016dc97857.jpeg', '8fff74b6-0128-4133-bf87-382fbde41654.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1590,Applique murale,0.0,Decorative aggregates,Murals,1.0,142.0,['8b4e08b6-c3e2-4c3c-a39d-337906e9fe97.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1671,Etagère murale,0.0,Decorative aggregates,Murals,1.0,142.0,"['d0871219-6a69-4d45-80b8-fa6a6c1ce207.jpeg', '6ed1d5a8-ea9c-4508-8c33-036c4ecc2aa4.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1740,Applique murale,10.0,Decorative aggregates,Murals,1.0,84.0,"['68eebe2e-b175-4f70-a5ca-3ae3dc4909ac.jpeg', 'e2c636b4-19b8-4244-864a-1b7b67bdbc7e.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1797,Applique murale ancienne,10.0,Decorative aggregates,Murals,1.0,137.0,"['9b0fa6b1-f395-4af6-a674-274250f15795.png', 'a91b21fb-adf5-4c96-be83-239322f75269.png']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2107,Etagère murale,30.0,Decorative aggregates,Murals,0.0,333.0,"['d32bbab1-670e-404b-8d98-f8e6d36f4898.jpeg', 'bbf80539-e3cc-4072-9e58-9367ed639ca9.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2108,Etagère murale,30.0,Decorative aggregates,Murals,1.0,117.0,"['d5768dba-993d-4ee7-8b23-860dd6a3d875.jpeg', '8ce9f139-06ce-47ec-9230-02483e55ff0e.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
