,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
5841,DAchfenster,,Daub,Sedge,1.0,121.0,20210317_095910_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
5897,Duschecke Echtgals klar,,Pisé,Sedge,1.0,265.0,20200506_090256_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,84.0,95.0,201.0
5985,Pissoir,,Pisé,Sedge,1.0,184.0,2590_1_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
6302,hängend,,Pisé,Sedge,1.0,92.0,wcc_570x570.png,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",,,
6305,hängend,,Pisé,Sedge,1.0,92.0,109296_1_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",,,
6307,hängend,,Pisé,Sedge,1.0,92.0,kkkk_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",,,
6314,Waschtisch weiss,,Pisé,Sedge,1.0,92.0,110855_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,,
6329,stehend,,Pisé,Sedge,1.0,20.0,110903_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
6330,stehend,,Pisé,Sedge,1.0,20.0,111044_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
6331,stehend,,Pisé,Sedge,1.0,20.0,111045_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
6336,Dunstabzug -,,Pisé,Sedge,1.0,14.0,111356_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
