,Name,URL,Price,Business,Category,Subcategory,Country,Location,Description,Dimensions,Age,ItemID,SellerID,SellersStockID,DateOfListing,Imagefiles,LastUpOn
867,Reclaimed Globe Wall Light Ornate Victorian Lamp (5 Available),https://www.salvoweb.com/35238-reclaimed-globe-wall-light-ornate-victorian-lamp-5-available,£ 350  ,Architectural Forum,Antique & Reclaimed,Lighting,UK,UK > Hertfordshire,We currently have 20 of these Victorian style wall lamps available. Each Cast Aluminum piece has a large polycarbonate opal globe and ornate scrolling metalwork to both arm and baseplate.Manufactured by Andy Thornton a leading supplier of lighting to the hospitality and retail sector.We also have matching lampposts available hereDimensions Overall Height 80cmHeight of Baseplate: 62cmProfile: 70cmDimensions are approximate,,More than 50 years old,35238.0,10617.0,ANDY,2022-05-13,"['https://cdn.shopify.com/s/files/1/1341/7889/products/LARGE-GLOBE-WALL-LIGHS-ANDY-THORNTON-2.jpg?v=1649202279', 'https://cdn.shopify.com/s/files/1/1341/7889/products/LARGEGLOBEWALLLIGHSANDYTHORNTON-5.jpg?v=1649202279', 'https://cdn.shopify.com/s/files/1/1341/7889/products/LARGEGLOBEWALLLIGHSANDYTHORNTON-2.jpg?v=1649202280', 'https://cdn.shopify.com/s/files/1/1341/7889/products/LARGEGLOBEWALLLIGHSANDYTHORNTON-3.jpg?v=1649202280', 'https://cdn.shopify.com/s/files/1/1341/7889/products/LARGEGLOBEWALLLIGHSANDYTHORNTON-4.jpg?v=1649202281', 'https://cdn.shopify.com/s/files/1/1341/7889/products/LARGEGLOBEWALLLIGHSANDYTHORNTON-6.jpg?v=1649202281', 'https://cdn.shopify.com/s/files/1/1341/7889/products/LARGEGLOBEWALLLIGHSANDYTHORNTON-1.jpg?v=1649202282', 'https://cdn.shopify.com/s/files/1/1341/7889/products/LARGEGLOBEWALLLIGHSANDYTHORNTON-7.jpg?v=1649202282', 'https://cdn.shopify.com/s/files/1/1341/7889/products/LARGEGLOBEWALLLIGHSANDYTHORNTON-8.jpg?v=1649202283']",
868,Regency Style Carrara & Verde Marble Fireplace Surround,https://www.salvoweb.com/35217-regency-style-carrara-verde-marble-fireplace-surround,£ 1800  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,This elegant Regency style fireplace surround has been crafted from reclaimed Carrara and Verde marble. The richly coloured Verde inlaid to the jambs and frieze provides an interesting contrast to the simplicity of the Carrara marble and simple form. The surround stands proud on simple block ends.The clean lines allow this piece to sit well in traditional and contemporary spaces. Dimensions: Shelf: 138.5cm wide x 18.5cm deep Overall Height: 108.5cm Opening: 94cm wide x 91cm high Dimensions are approximate.,,More than 50 years old,35217.0,10617.0,THEODORE,2022-05-12,"['https://cdn.shopify.com/s/files/1/1341/7889/products/antique-green-marble-fireplace-regency-surrouns-carrara--3.jpg?v=1639593754', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-2.jpg?v=1639593755', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-3.jpg?v=1639593755', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-4.jpg?v=1639593756', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-5.jpg?v=1639593756', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-6.jpg?v=1639593757', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-7.jpg?v=1639593757', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-8.jpg?v=1639593758', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-9.jpg?v=1639593758', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-10.jpg?v=1639593759', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-11.jpg?v=1639593759', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-12.jpg?v=1639593760', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-13.jpg?v=1639593760', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquegreenmarblefireplaceregencysurrounscarrara-1.jpg?v=1639593761']",
869,Ornate Antique Wrought Iron Firedogs,https://www.salvoweb.com/35219-ornate-antique-wrought-iron-firedogs,£ 550  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"A pair of antique ornate wrought iron firedogs with scrollwork throughout.The antique fire dogs have decorative scrolls and curves to the feet Each shaft is topped with a twisted leaf sitting atop of scrolls, delivering a fleur de lis form. The dogs are well balanced and an attractive edition for a period fireplace.Please note, this listing is for the pair of fire dogs only and not the central grate/basket. These can be purchased separately as they come in a range of sizes and designs to suit the chimneybreast opening. Dimensions: 50cm Deep x 58cm HighDimensions are approximate.",,More than 50 years old,35219.0,10617.0,CAROLINE,2022-05-12,"['https://cdn.shopify.com/s/files/1/1341/7889/products/ornate-reclaimed-antique-andirons-for-fireplace.jpg?v=1642012501', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-1.jpg?v=1642012502', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-2.jpg?v=1642012502', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-3.jpg?v=1642012503', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-4.jpg?v=1642012503', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-5.jpg?v=1642012504', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-7.jpg?v=1642012504', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-8.jpg?v=1642012505', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-9.jpg?v=1642012505', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-10.jpg?v=1642012506', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquewroughtironfirepaceandirons-6.jpg?v=1642012506']",
870,Antique Cast Iron Ornate Fireplace Tidy | Betty | Ashpan Cover,https://www.salvoweb.com/35223-antique-cast-iron-ornate-fireplace-tidy-betty-ashpan-cover,£ 130  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,Antique fireplace tidy with intricate detailing of florals and foliage. The Tidy has been fully restored in-house and offers a very unique and interesting addition to a fireplace.  Dimensions:44cm Wide (base) x 28cm Tall x 13cm DeepDimensions are approximate.,,More than 50 years old,35223.0,10617.0,LARGO,2022-05-12,"['https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimed-ashpan-cover-fireplace-tidy.jpg?v=1646245590', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquefireplacetidybettymadefromcastiron-1.jpg?v=1646245591', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquefireplacetidybettymadefromcastiron-2.jpg?v=1646245591', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquefireplacetidybettymadefromcastiron-3.jpg?v=1646245592', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquefireplacetidybettymadefromcastiron-4.jpg?v=1646245592', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquefireplacetidybettymadefromcastiron-5.jpg?v=1646245593', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquefireplacetidybettymadefromcastiron-6.jpg?v=1646245593']",
871,Reclaimed Solid Teak Bench Seat,https://www.salvoweb.com/35215-reclaimed-solid-teak-bench-seat,£ 650  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,"Solid, simple and Stylish this teak bench offers a robust seating solution.The timber has rich markings and has been gently restored and waxed in-house. Dimensions: Overall: 186cm wide x 80.5cm tallHeight of seat: 44.5cmDepth of seat: 34cmOverall Depth: 46cmDimensions are approximate.",,More than 50 years old,35215.0,10617.0,BERTIE,2022-05-12,"['https://cdn.shopify.com/s/files/1/1341/7889/products/Teak-garden-bench-reclaimed.png?v=1614260395', 'https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimedteakbenchsolidwood-4.jpg?v=1614260395', 'https://cdn.shopify.com/s/files/1/1341/7889/products/wooden-Teak-garden-bench-reclaimed.png?v=1614260396', 'https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimedteakbenchsolidwood-2.jpg?v=1614260396', 'https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimedteakbenchsolidwood-3.jpg?v=1614260397', 'https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimedteakbenchsolidwood-1.jpg?v=1614260397']",
872,Antique Carrara Marble Fender | Fireplace Curb Fender,https://www.salvoweb.com/35165-antique-carrara-marble-fender-fireplace-curb-fender,£ 420  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"Composed of 3 pieces, this original antique fireplace fender has been carved from fine Carrara marble.Muted veins deliver a simple fireplace additional that has been gently restored in-house. DIMENSIONS:Overall: 152cm Long x 39cm Deep x 11cm TallInternal Dimensions: 132.5cm Wide x 30.5cm DeepDimensions are approximate.",,More than 50 years old,35165.0,10617.0,MXF5,2022-05-07,"['https://cdn.shopify.com/s/files/1/1341/7889/products/carrara-marble-fender.jpg?v=1642012483', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquemarblefireplacefender-3.jpg?v=1642012483', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiqe-carrara-marble-fender.jpg?v=1642012484', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquemarblefireplacefender-1.jpg?v=1642012484', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquemarblefireplacefender-2.jpg?v=1642012485', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquemarblefireplacefender-4.jpg?v=1642012485', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquemarblefireplacefender-5.jpg?v=1642012486']",
873,Antique Early 19th Century Wrought Iron Basket,https://www.salvoweb.com/35167-antique-early-19th-century-wrought-iron-basket,£ 3500  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"A very rare and striking piece, this original early 19th-century fire basket has been forged from wrought iron. The basket has a subtle bow-front with columns running across the basket's width. Below the basket sits a decorative apron. 

The piece is flanked by wrought iron scrolls and curls. The front of the basket stands proud on column feet whilst the rear rests on the backplate.The basket has been gently restored in-house and is ready for installation and use.

Dimensions: 
Front Width: 108cm Overall Depth: 32cm Overall Height: 42cm Internal Basket: 50cm Wide X 25cm Deep 
Dimensions are approximate.",32.00 cm. x 108.00 cm. x 42.00 cm.,More than 50 years old,35167.0,10617.0,NOAH,2022-05-07,"['https://d2ev1gaou5sisr.cloudfront.net/items/35167/antique-early-19th-century-wrought-iron-basket-2-dnw.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35167/antique-early-19th-century-wrought-iron-basket-3-tnh.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35167/antique-early-19th-century-wrought-iron-basket-4-zdm.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35167/antique-early-19th-century-wrought-iron-basket-5-0yf.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35167/antique-early-19th-century-wrought-iron-basket-6-vmb.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35167/antique-early-19th-century-wrought-iron-basket-7-qh1.jpg']",
874,Antique Victorian St Anne's Marble Fireplace Surround with Corbels,https://www.salvoweb.com/35147-antique-victorian-st-annes-marble-fireplace-surround-with-corbels,£ 3200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"This antique fireplace surround has been crafted from fine St Anne's, a very striking and interesting veined marble.The bevelled shelf rests upon two beautifully carved marble corbels. The jambs surmount simple footblocks. 

This design is typical of the Victorian era, making this piece an excellent option for those looking to install original period features. 

Gently restored in-house, the chimneypiece is ready for installation, this fire surround would make a wonderful feature to a chimneypiece for a renovation project.

Dimensions:
Shelf: 167cm x 28cm
Overall Height: 123cm
Opening: 94cm wide X 96.5cm Tall
Width of Jamb: 25cm
Dimensions are approximate
",28.00 cm. x 167.00 cm. x 123.00 cm.,More than 50 years old,35147.0,10617.0,SHERLOCK,2022-05-03,"['https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-2-bnm.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-3-qzf.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-4-bp6.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-5-s5y.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-6-jvy.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-7-1b9.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-8-njz.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-9-z6s.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35147/antique-victorian-st-annes-marble-fireplace-surround-with-corbels-10-5eq.jpg']",
875,Reclaimed Carron Foundry Cast Iron Fireback (2 Available),https://www.salvoweb.com/35143-reclaimed-carron-foundry-cast-iron-fireback-2-available,£ 650  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"With varying levels of relief work, this reclaimed fireback is a superb replica of an exact copy of the one made by the Carron Foundry of Falkirk in Scotland. We currently have 2 of these firebacks available. The substantial and heavy piece is cast with a knight on horseback and inscribed ""L D Fairfax Covnqvonror"" Sir Thomas Fairfax was one of the outstanding military commanders of the English Civil War. 

Fairfax is best remembered as the man who commanded the New Model Army at the Battle of Naseby in June 1645. His overwhelming victory here effectively ended any chance Charles I had of winning the war. The piece is depicted on page 204 of the Carrons Architects Catalogue. (pictured - SNo 14056.)

Dimensions 87.5cm W x 70cm H x 4cm Deep
Dimensions are approximate",4.00 cm. x 88.00 cm. x 70.00 cm.,More than 50 years old,35143.0,10617.0,FAIRFAX,2022-05-03,"['https://d2ev1gaou5sisr.cloudfront.net/items/35143/reclaimed-carron-foundry-cast-iron-fireback-2-available-2-eta.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35143/reclaimed-carron-foundry-cast-iron-fireback-2-available-3-1qi.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35143/reclaimed-carron-foundry-cast-iron-fireback-2-available-4-wn8.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35143/reclaimed-carron-foundry-cast-iron-fireback-2-available-5-lgg.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35143/reclaimed-carron-foundry-cast-iron-fireback-2-available-6-6f8.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35143/reclaimed-carron-foundry-cast-iron-fireback-2-available-7-hep.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35143/reclaimed-carron-foundry-cast-iron-fireback-2-available-8-5bb.jpg']",
876,Luke Hughes Blue Leather Stackable Dining Chairs | 55 Available,https://www.salvoweb.com/35142-luke-hughes-blue-leather-stackable-dining-chairs-55-available,£ 250  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,"We have 55 high-quality Oak and leather chairs by Luke Hughes. This particular design is the ""Downing"" chair and was originally designed for Downing College, Cambridgeshire University, Luke Hughes, design and engineer exceptional furniture specialising in bespoke pieces for notable buildings including the seating for Westminster Abbey. These particular chairs were reclaimed from The Royal College of Veterinary Surgeons in London. 

Crafted with longevity in mind, the chairs are extremely robust. The chairs are stackable and made from solid European oak with fine Scottish leather. A goldcrest with in Latin is emblazed into the back of each seat reading ""Vis Unita Fortior"" which translates to United strength is stronger.

Price is per chair. Please contact us to confirm stock levels if you are seeking a large quantity. 

Dimensions: 
Overall Height 84cm Seat Height 45cm Overall Width 44cm Overall Depth 52cm 
Dimensions are approximate",52.00 cm. x 44.00 cm. x 84.00 cm.,More than 50 years old,35142.0,10617.0,DOWNING,2022-05-03,"['https://d2ev1gaou5sisr.cloudfront.net/items/35142/luke-hughes-blue-leather-stackable-dining-chairs-55-available-1-zpi.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35142/luke-hughes-blue-leather-stackable-dining-chairs-55-available-2-t0t.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35142/luke-hughes-blue-leather-stackable-dining-chairs-55-available-3-fgf.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35142/luke-hughes-blue-leather-stackable-dining-chairs-55-available-4-sql.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35142/luke-hughes-blue-leather-stackable-dining-chairs-55-available-5-a1l.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35142/luke-hughes-blue-leather-stackable-dining-chairs-55-available-6-pbm.jpg', 'https://d2ev1gaou5sisr.cloudfront.net/items/35142/luke-hughes-blue-leather-stackable-dining-chairs-55-available-7-iej.jpg']",
877,Antique Brass Fireplace Fender,https://www.salvoweb.com/35110-antique-brass-fireplace-fender,£ 350  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An original, Victorian pierced Brass Fireplace Fender with ornate detailing.The elegant piece has been polished in-house and would make a welcome addition to a period fireplace project. DIMENSIONS:Overall: 148cm Long x 29cm Deep x 9cm TallInternal Dimensions: 124cm Wide x 23cm DeepDimensions are approximate.",,More than 50 years old,35110.0,10617.0,WISH,2022-04-30,"['https://cdn.shopify.com/s/files/1/1341/7889/products/anique-brass-fender-for-fireplace.png?v=1619183577', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquebrassfireplacefender-1_749cd4aa-303c-4081-8cd5-0f27554282d7.jpg?v=1619183578', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquebrassfireplacefender-1-2.jpg?v=1619183578', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquebrassfireplacefender-2_04ed8c76-a774-4e79-ba05-ecc8ec654391.jpg?v=1619183579', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquebrassfireplacefender-3_c3a8ec2e-862e-4436-83e2-ba53d1bee30b.jpg?v=1619183579', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquebrassfireplacefender-4_3474b6b2-cfd8-4844-ac9b-aee9510d749c.jpg?v=1619183580', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquebrassfireplacefender-5_0c1e60e3-0919-4974-9f50-7f798bdd3c5c.jpg?v=1619183580', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquebrassfireplacefender-6_dc2eed25-2773-418b-870b-dd58aedee198.jpg?v=1619183581', 'https://cdn.shopify.com/s/files/1/1341/7889/products/victorian-anique-brass-fender-for-fireplace.png?v=1619183581']",
878,Antique Victoria Pine Panelled Door - 191cm x 82.5cm,https://www.salvoweb.com/35112-antique-victoria-pine-panelled-door-191cm-x-825cm,£ 150  ,Architectural Forum,Antique & Reclaimed,Doors & Handles,UK,UK > Hertfordshire,A solid pine Victorian four-panel door. a more unusual design with each of the top 2 panels being split into a further 4.This antique door is perfect for those wishing to install original period features to their Victorian property renovation. Please note the main image shows both sides of the door. The listing is for 1 door only. The door is being sold in its current painted state. Dimensions  191cm x 82.5cm x 3.5cm Dimensions are Approximate,,More than 50 years old,35112.0,10617.0,FAB30,2022-04-30,"['https://cdn.shopify.com/s/files/1/1341/7889/products/antique-victorian-4-panel-door-4_04133a3d-17dd-4e75-9bc1-cbb534abd54f.jpg?v=1640792323', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-9_7d01433d-c8cc-4f0f-9be3-fc31f05865c5.jpg?v=1640792323', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-10_59fcc511-eeed-41fe-ba04-d5f8463a0822.jpg?v=1640792324', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-11_14760a22-2e42-4a03-9a6c-ed8195473096.jpg?v=1640792324', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-8_34c54831-2bbc-48e9-921b-6558afa03a7f.jpg?v=1640792325', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-1_7fe166e6-0962-41a5-99e2-7e6b3cc5c62f.jpg?v=1640792325', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-2_3a62734b-bd12-419f-877c-bc673c5dfc54.jpg?v=1640792326', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-3_28af8d7a-67cc-4557-9a11-dee66bd9737b.jpg?v=1640792326', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-4_debc1903-7806-4c8a-a259-e5ac8cc70dc5.jpg?v=1640792327', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-5_fa030459-16d6-4900-9865-4a114f3d86da.jpg?v=1640792327', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-6_d8df64ec-b459-47c7-9837-a92341811347.jpg?v=1640792328', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-7_2b0406ae-be20-4487-93a6-da0c491d625a.jpg?v=1640792328', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorian4paneldoor-12_42648805-cfaa-4e9e-99ef-cf7b842eafc1.jpg?v=1640792329']",
879,Reclaimed Victorian Style Arched Fireplace Insert,https://www.salvoweb.com/35114-reclaimed-victorian-style-arched-fireplace-insert,£ 840  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"This reclaimed Victorian style fireplace insert offers a handsome addition to a fireplace.Ornate cast-iron detailing frames the arched opening whilst decorative motifs adorn the lower bar and base of the integral basket - these elements, including the basket bars have been polished to reveal a silver finish that complements the rich black of the rest of the piece.The classic arched fireplace insert is a design typical of the Victorian period and is an excellent option for those looking to install original features to a period renovation. Dimensions94cm W x 90cm H  Dimensions are approximate",,More than 50 years old,35114.0,10617.0,HAPPY,2022-04-30,"['https://cdn.shopify.com/s/files/1/1341/7889/products/antique-victorian-fireplae-insert-simple-design-4.jpg?v=1642438755', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorianfireplaeinsertsimpledesign-2_55438c19-6524-49fc-b1ec-7445979518f3.jpg?v=1642438755', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorianfireplaeinsertsimpledesign-3_92fc0664-c936-4280-9ea7-bcbd1629fcce.jpg?v=1642438756', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorianfireplaeinsertsimpledesign-4_6f834d3a-ccc6-4f75-9f8f-8c0c5825aaa6.jpg?v=1642438756', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorianfireplaeinsertsimpledesign-5_335c198c-c432-4947-b86b-5c17f117c337.jpg?v=1642438757', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorianfireplaeinsertsimpledesign-6_720a5fe1-dce4-4769-90a9-ca304ad2957c.jpg?v=1642438758', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorianfireplaeinsertsimpledesign-1_4f86e5f4-bee8-4fa9-b99e-47785e4bef29.jpg?v=1642438758']",
880,Large Antique Victorian Pine & Gesso Arched Mirror,https://www.salvoweb.com/35116-large-antique-victorian-pine-gesso-arched-mirror,£ 2800  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,"This impressive Victorian mirror has ornate gesso detailing around the frame.With an arched top and beaded rim, the moulded frame has laurel foliate decorations to the lower. A very large and striking piece.The original mirror plate has a wonderful patina that shows signs of age.A fine example of an original Victorian mirror Dimensions:  205cm tall x 152cm wide x 9cm depth Dimensions are approximate",,More than 50 years old,35116.0,10617.0,FLOAT,2022-04-30,"['https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimed-antique-victorian-mirror-Copy.jpg?v=1643919102', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-5.jpg?v=1643919102', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-1-2.jpg?v=1643919103', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-1.jpg?v=1643919103', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-2.jpg?v=1643919104', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-3.jpg?v=1643919104', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-4.jpg?v=1643919105', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-6.jpg?v=1643919105', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-7.jpg?v=1643919106', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-8.jpg?v=1643919106', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-9.jpg?v=1643919107', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-10.jpg?v=1643919107', 'https://cdn.shopify.com/s/files/1/1341/7889/products/antiquevictorrianmirrorveryextralargearched-11.jpg?v=1643919108', 'https://cdn.shopify.com/s/files/1/1341/7889/products/wooden-reclaimed-antique-victorian-mirror-Copy.jpg?v=1643919108']",
881,Reclaimed Buffed Terracotta Tiles | 23cm x 23cm,https://www.salvoweb.com/35121-reclaimed-buffed-terracotta-tiles-23cm-x-23cm,£ 6  ,Architectural Forum,Antique & Reclaimed,Flagstones & Floor Tiles,UK,UK > Hertfordshire,We have approx 350 of these pale coloured buffed terracotta tiles.These high-quality tiles have a smooth finish and are suited to a variety of internal or external usage The tiles are on pallets. Price is per tile Price included VATDimensions: 23cm x 23cmDepth: 2.3cm Dimensions are approximate.,,More than 50 years old,35121.0,10617.0,FRANKIE,2022-04-30,"['https://cdn.shopify.com/s/files/1/1341/7889/products/medium-size-buffed-terracotta-tiles.jpg?v=1646782099', 'https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimedterracottatileslightcolourbuffedtiles-1.jpg?v=1646782100', 'https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimedterracottatileslightcolourbuffedtiles-2.jpg?v=1646782100', 'https://cdn.shopify.com/s/files/1/1341/7889/products/reclaimedterracottatileslightcolourbuffedtiles-3.jpg?v=1646782101']",
